IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
1,SENSEX,BSE SENSEX,83382.71,83670.79,84134.97,83456.50,83570.35,86159.02,71425.01,,,,
2,BSE100,BSE 100,26891.84,26950.72,27136.54,26921.73,26958.71,27621.72,22539.11,,,,
3,BSE200,BSE 200,11612.50,11634.13,11710.19,11613.51,11629.25,11944.41,9698.87,,,,
4,BSE500,BSE 500,36805.06,36863.78,37092.59,36787.07,36829.93,37874.46,30571.61,,,,
7,BSE CG,BSE CAPITAL GOODS,64746.36,64649.21,64830.09,63751.79,63952.45,73125.09,54567.64,,,,
8,BSE CD,BSE CONSUMER DURABLES,60854.19,60652.42,61014.28,59889.82,60022.13,63119.26,49772.57,,,,
10,BSEPSU,BSE PSU,20986.92,21004.04,21142.39,20912.41,20999.49,21272.75,15647.00,,,,
11,TECK,BSE TECK,18285.11,18556.87,18751.56,18491.92,18722.94,19672.16,15284.97,,,,
12,BANKEX,BSE BANKEX,67183.88,67230.03,68016.10,67119.89,67964.48,68016.10,54277.32,,,,
13,AUTO,BSE AUTO,61586.24,61663.69,62110.28,61149.86,61313.32,64584.14,42834.11,,,,
14,METAL,BSE METAL,38459.35,38563.44,38697.31,38101.95,38262.94,38697.31,25884.45,,,,
15,OILGAS,BSE OIL&GAS,27631.99,27661.80,27904.70,27613.03,27751.82,29249.06,21949.84,,,,
21,REALTY,BSE REALTY,6626.64,6661.67,6767.46,6609.06,6648.18,8165.49,5805.38,,,,
22,POWER,BSE POWER,6356.85,6352.34,6387.86,6275.34,6284.83,7048.02,5669.71,,,,
23,BSEIPO,BSE IPO,15252.60,15263.65,15439.66,15243.81,15278.01,17158.25,11832.48,,,,
27,SMEIPO,BSE SME IPO,91986.07,91910.68,92224.06,91576.03,91627.56,118389.53,80089.76,,,,
28,INFRA,BSE INDIA INFRA INDEX,568.50,568.49,573.24,565.12,566.17,622.49,492.74,,,,
29,CPSE,BSE CPSE,3880.68,3883.42,3896.13,3839.42,3855.47,4016.32,3057.56,,,,
30,MIDCAP,BSE MIDCAP,46114.94,46122.20,46471.89,46093.11,46186.05,47764.30,37203.21,,,,
31,SMLCAP,BSE SMALLCAP,49927.33,49909.77,50133.34,49622.48,49701.91,55792.26,41013.68,,,,
32,BSEFMC,BSE FMCG,19133.89,19204.69,19242.56,19052.91,19070.86,21490.85,18196.88,,,,
33,BSE HC,BSE Healthcare,43362.66,43248.36,43261.58,42822.09,42857.63,46018.05,37028.95,,,,
34,BSE IT,BSE IT,36533.93,37245.14,37848.81,37147.88,37774.03,43601.51,30458.02,,,,
35,MFG,BSE INDIA MFG INDEX,1093.76,1094.58,1098.52,1084.92,1088.11,1121.38,875.54,,,,
37,COMDTY,BSE COMMODITIES,8205.43,8214.46,8247.90,8161.37,8191.69,8277.23,6463.97,,,,
